year,score,votes,budget,gross,runtime,PG,PG-13,R,Action,Adventure,Comedy,Crime,Drama,Horror
1982,8.1,382000.0,15000000.0,19632053.0,109.0,0,0,1,0,0,0,0,0,1
1982,6.9,141000.0,20000000.0,68851475.0,129.0,0,0,1,1,0,0,0,0,0
1982,7.7,234000.0,15000000.0,125212904.0,93.0,0,0,1,1,0,0,0,0,0
1982,7.0,52000.0,7500000.0,129795554.0,124.0,0,0,1,0,0,0,0,1,0
1982,4.4,34000.0,13200000.0,15171476.0,115.0,1,0,0,0,0,1,0,0,0
1982,6.6,41000.0,50000000.0,57063861.0,127.0,1,0,0,0,0,1,0,0,0
1982,7.3,148000.0,10700000.0,77142388.0,114.0,1,0,0,0,0,0,0,0,1
1982,6.9,73000.0,12000000.0,78868508.0,96.0,0,0,1,1,0,0,0,0,0
1982,7.7,115000.0,11200000.0,78912963.0,113.0,1,0,0,1,0,0,0,0,0
1982,4.9,2500.0,20000000.0,5588800.0,100.0,0,0,1,0,1,0,0,0,0
1982,6.3,8100.0,20000000.0,5829781.0,92.0,0,0,1,0,0,1,0,0,0
1982,7.6,44000.0,12000000.0,30036000.0,150.0,0,0,1,0,0,0,0,1,0
1982,7.4,100000.0,21000000.0,177200000.0,116.0,1,0,0,0,0,1,0,0,0
1982,6.8,115000.0,17000000.0,33000525.0,96.0,1,0,0,1,0,0,0,0,0
1982,7.8,94000.0,20000000.0,2536242.0,109.0,1,0,0,0,0,1,0,0,0
1982,6.8,179000.0,17000000.0,125052686.0,99.0,1,0,0,0,0,0,0,1,0
1982,6.2,22000.0,8000000.0,14056528.0,118.0,1,0,0,1,0,0,0,0,0
1982,6.9,44000.0,8000000.0,21028755.0,120.0,0,0,1,0,0,1,0,0,0
1982,7.3,8200.0,3500000.0,20659423.0,102.0,1,0,0,0,1,0,0,0,0
1982,8.0,78000.0,12000000.0,22265763.0,95.0,0,0,1,0,0,0,0,1,0
1982,8.1,59000.0,6000000.0,6795771.0,188.0,0,0,1,0,0,0,0,1,0
1982,5.7,49000.0,2300000.0,36690067.0,95.0,0,0,1,0,0,0,0,0,1
1982,6.0,26000.0,18000000.0,46708276.0,136.0,1,0,0,1,0,0,0,0,0
1982,5.0,45000.0,2500000.0,14400000.0,98.0,0,0,1,0,0,0,0,0,1
1982,7.2,63000.0,15000000.0,41630431.0,93.0,1,0,0,0,1,0,0,0,0
1982,7.7,37000.0,16000000.0,53993738.0,129.0,0,0,1,0,0,0,0,1,0
1982,4.9,6500.0,20000000.0,16897768.0,98.0,0,0,1,0,0,1,0,0,0
1982,5.9,2800.0,20000000.0,20225989.0,108.0,1,0,0,0,0,1,0,0,0
1982,7.2,25000.0,17000000.0,29712172.0,136.0,0,0,1,0,0,1,0,0,0
1982,7.1,19000.0,5000000.0,14099953.0,110.0,0,0,1,0,0,1,0,0,0
1982,6.0,10000.0,35000000.0,69701637.0,114.0,0,0,1,0,0,1,0,0,0
1982,7.1,20000.0,13000000.0,10278575.0,115.0,1,0,0,0,0,0,0,1,0
1982,6.6,15000.0,20000000.0,21095638.0,106.0,0,0,1,0,0,1,0,0,0
1982,5.7,3900.0,20000000.0,4968000.0,98.0,0,0,1,0,0,1,0,0,0
1982,7.6,20000.0,20000000.0,28229046.0,134.0,1,0,0,0,0,1,0,0,0
1982,6.7,15000.0,9000000.0,13277558.0,125.0,0,0,1,0,0,0,0,1,0
1982,6.2,50000.0,15000000.0,27150534.0,85.0,1,0,0,0,0,1,0,0,0
1982,5.8,11000.0,17000000.0,47118057.0,102.0,1,0,0,0,0,1,0,0,0
1982,6.0,7800.0,425000.0,10604986.0,91.0,0,0,1,0,0,0,0,0,1
1982,7.1,15000.0,10000000.0,6110670.0,117.0,1,0,0,0,0,0,1,0,0
1982,5.6,5700.0,20000000.0,39103425.0,99.0,0,0,1,1,0,0,0,0,0
1982,6.0,15000.0,2000000.0,16100000.0,89.0,0,0,1,1,0,0,0,0,0
1982,5.5,5300.0,4500000.0,10490791.0,103.0,0,0,1,1,0,0,0,0,0
1982,3.7,3400.0,20000000.0,5675599.0,99.0,1,0,0,1,0,0,0,0,0
1982,6.3,2600.0,16000000.0,5672311.0,128.0,0,0,1,0,0,0,0,1,0
1982,6.9,21000.0,9000000.0,18196170.0,88.0,1,0,0,0,0,1,0,0,0
1982,5.5,11000.0,5000000.0,12534817.0,104.0,0,0,1,0,0,0,0,0,1
1982,6.7,3500.0,11300000.0,5301539.0,120.0,1,0,0,0,0,1,0,0,0
1982,7.0,13000.0,20000000.0,19282134.0,116.0,1,0,0,0,0,1,0,0,0
1982,6.5,2000.0,20000000.0,7400000.0,103.0,1,0,0,0,0,0,0,1,0
1982,3.6,1700.0,750000.0,19739822.5,83.0,1,0,0,0,0,0,0,0,1
1982,5.9,1500.0,20000000.0,1515578.0,111.0,0,0,1,0,0,0,1,0,0
1982,6.5,2200.0,13000000.0,5005245.0,140.0,1,0,0,0,0,1,0,0,0
1982,5.5,3000.0,20000000.0,30688860.0,96.0,0,0,1,0,0,1,0,0,0
1982,7.4,9000.0,20000000.0,20123620.0,92.0,1,0,0,0,0,1,0,0,0
1982,6.1,4300.0,10000000.0,5979947.0,93.0,1,0,0,0,0,0,1,0,0
1982,3.9,2300.0,800000.0,2270.0,85.0,0,0,1,0,0,0,0,0,1
1982,6.9,2500.0,20000000.0,11897978.0,113.0,0,0,1,0,0,0,0,1,0
1982,6.6,8200.0,2000000.0,4484991.0,122.0,1,0,0,0,0,1,0,0,0
1982,5.6,3700.0,20000000.0,7742572.0,98.0,0,0,1,0,0,0,0,0,1
1982,7.2,4200.0,850000.0,840958.0,109.0,1,0,0,0,0,1,0,0,0
1982,6.4,3000.0,6000000.0,2666873.0,125.0,0,0,1,1,0,0,0,0,0
1982,5.0,9800.0,6000000.0,9056073.0,96.0,1,0,0,0,0,1,0,0,0
1982,6.0,1800.0,20000000.0,1054328.0,91.0,0,0,1,0,0,0,0,1,0
1982,6.4,6100.0,22000000.0,6118683.0,108.0,0,0,1,0,0,0,1,0,0
1982,6.0,1900.0,20000000.0,15782759.0,101.0,1,0,0,0,0,1,0,0,0
1982,6.6,19000.0,20000000.0,9077269.0,88.0,1,0,0,0,0,1,0,0,0
1982,6.5,2000.0,20000000.0,13253583.0,97.0,0,0,1,1,0,0,0,0,0
1982,5.5,2700.0,15000000.0,36821203.0,116.0,1,0,0,0,0,1,0,0,0
1982,6.9,2500.0,12000000.0,9217530.0,124.0,0,0,1,0,0,0,0,1,0
1982,5.1,684.0,17000000.0,946461.0,105.0,0,0,1,0,0,1,0,0,0
1982,5.7,3800.0,20000000.0,13258670.0,103.0,0,0,1,0,0,0,0,0,1
1982,4.9,501.0,20000000.0,2370376.0,95.0,0,0,1,0,0,1,0,0,0
1982,4.7,2000.0,20000000.0,10054150.0,84.0,0,0,1,0,0,1,0,0,0
1982,5.6,2400.0,20000000.0,9823934.0,110.0,1,0,0,1,0,0,0,0,0
1982,6.2,5100.0,20000000.0,13111101.0,110.0,1,0,0,0,0,1,0,0,0
1982,6.5,768.0,20000000.0,263635.0,110.0,0,0,1,0,0,0,0,1,0
1982,6.3,2000.0,20000000.0,2977706.0,108.0,0,0,1,1,0,0,0,0,0
1982,5.3,1100.0,4000000.0,6328816.0,96.0,0,0,1,1,0,0,0,0,0
1982,5.7,1800.0,10000000.0,3583513.0,117.0,0,0,1,0,0,1,0,0,0
1982,5.7,818.0,20000000.0,6668025.0,107.0,1,0,0,0,0,0,0,1,0
1982,7.0,3000.0,20000000.0,3700.0,121.0,0,0,0,0,0,0,0,1,0
1982,5.6,2900.0,5000000.0,6660333.0,90.0,0,0,1,1,0,0,0,0,0
1982,6.2,2100.0,20000000.0,7241180.0,90.0,0,0,1,0,0,1,0,0,0
1982,6.2,683.0,20000000.0,143369.0,94.0,1,0,0,0,0,1,0,0,0
1982,6.5,1300.0,10000000.0,8000000.0,107.0,1,0,0,0,0,0,0,1,0
1982,5.9,914.0,20000000.0,1474249.0,97.0,0,0,1,0,0,0,0,1,0
1982,6.0,3100.0,7000000.0,21134374.0,90.0,0,0,1,1,0,0,0,0,0
1982,3.5,322.0,20000000.0,2914328.0,90.0,0,0,1,0,0,1,0,0,0
1982,4.7,984.0,13400000.0,2869638.0,103.0,0,0,1,0,0,1,0,0,0
1982,5.7,1500.0,20000000.0,16894678.0,87.0,1,0,0,1,0,0,0,0,0
1982,5.8,1400.0,20000000.0,23671186.0,97.0,0,0,1,0,0,1,0,0,0
1982,6.5,3000.0,20000000.0,42914.0,97.0,1,0,0,0,0,0,1,0,0
1982,6.1,1000.0,15000000.0,199078.0,108.0,1,0,0,0,0,0,0,1,0
1982,4.4,538.0,20000000.0,3178542.0,108.0,0,0,1,0,0,0,1,0,0
